Ποιος από τους παρακάτω είναι ο καταλληλότερος per os αρχικός παράγοντας για την αντιμετώπιση του διαβήτη τύπου 2:  ,Μετμορφίνη ,Ινσουλίη ,Γλυπιζίδη ,Πιογλιταζόνη
"Πρέπει να χορηγηθεί ενδοφλέβια σε ασθενή για αποκατάσταση έλλειψης υγρών, διάλυμα ηλεκτρολυτών. Τα ισότονα ως προς το πλάσμα διαλύματα χορηγούνται με ασφάλεια:",Από περιφερική φλέβα,Από μεγάλου εύρους φλέβα,Από οποιαδήποτε είδους φλέβα,Ενδομυϊκά
"Πρέπει να χορηγηθεί ενδοφλέβια σε ασθενή για αποκατάσταση έλλειψης υγρών, διάλυμα ηλεκτρολυτών. Τα υπέρτονα ως προς το πλάσμα διαλύματα πρέπει να χορηγούνται:",Από μεγάλου εύρους φλέβα,Από περιφερική φλέβα,Από οποιαδήποτε είδους φλέβα,Ενδομυϊκά
"Στην περίπτωση στένωσης της νεφρικής αρτηρίας σε ασθενή, χορηγείται: ","KCL, αλλά με ιδιαίτερη προσοχή",Διάλυμα Ringer,Ασβέστιο γλυκονικό ,NaCl
Ασθενής παρουσιάζει μυϊκή αδυναμία. Πρόκειται για περίπτωση ένδειας του οργανισμόυ σε φωσφόρο.  Πρέπει να χορηγηθεί:,Ένυδρο γλυκεροφωσφορικό νάτριο,Μαγνήσιο,Βιταμίνη Β12,Νάτριο
"Ένα μικρό παιδί έφαγε καταλάθος αλοιφή κατά των τρωκτικών. Για να αντιμετωπιστεί η δηλητηρίαση από άλας του Θάλλιου Τl, χορηγείται: ","Κυανό του Βερολίνου (σιδηρο-κυανιούχο κάλιο)", Τριέξυ-φαινιδύλιο και διμερκαπρόλη,Φαινυλο-διθειοκαρβαζόνη ,Κυανό του Βερολίνου (σιδηρο-κυανιούχο κάλιο) και διμερκαπρόλη
Ένας ασθενής έχει κατακράτηση ούρων μετά από χειρουργική επέμβαση που έκανε. Αυτό αντιμετωπίζεται με χορήγηση:,(χλωριούχου) βητανεχόλης,(χλωριούχου) καρβαχόλης,χλωριούχου μεταχολίνης,χλωριούχου ακετυλοχολίνης
Οι ενώσεις που ανταγωνίζονται την Ακετυλοχολίνη στις παρασυμπαθητικές μεταγαγγλιακές απολήξεις είναι:,"Τα αλκαλοειδή ατροπίνη, (±) υοσκυαμίνη, (-) υοσκυαμίνη και (-) σκοπολαμίνη ","Τα αλκαλοειδή ατροπίνη, (±) υοσκυαμίνη και (-) σκοπολαμίνη ",Η ένωση φυγοστιμίνη,Η ένωση νεοστιγμίνη
*Σε περιπτώσεις σταθερής στηθάγχης χορηγούνται:,β-αναστολείς,Οργανικά νιτρικά,Αναστολείς ασβεστίου ,!Όλα τα παραπάνω
Η ηπαρίνη χρησιμοπιείται συχνά για να παρεμομποδίσει:,το σχηματισμό θρόμβων ,την εμφάνιση άσθματος,την απορρόφηση ασβεστίου ,την απορρόφηση καλίου 
Ποιό από τα παρακάτω είναι η θεραπεία εκλογής για τον υποθυρεοειδισμό;:,Λεβοθυροξίνη ,Ιώδιο ,Λιοθυροξίνη ,Προπυλοθειουρακίλη 
Ένας ασθενής με έλκος δωδεκαδακτύλου υποβάλλεται σε θεραπευτική αγωγή με σιμετιδίνη. Ποιος έιναι ο μηχανισμός δράσης της σιμετιδίνης;,Μείωση των επιπέδων κυκλικού AMP (cAMP) στον ενδοκυττάριο χώρο,Αναστολή των μουσκαρινικών υποδοχέων,Διέγερση των μουσκαρινικών υποδοχέων,Αναστολή της σωματοστατίνης
"Η carboplatin, σύμπλοκο λευκόχρυσου  αποτελεί σημαντικότατο φάρμακο για την καταπολέμηση καρκίνου:", των ωοθηκών και των όρχεων,του εντέρου,του ήπατος,του λάρυγγα
"Για την αντιμετώπιση του βρογχικού άσθματος, χορηγείται στον ασθενή θεοφυλλίνη. Ποιο από τα παρακάτω αυξάνει τη δράση της, αν συγχορηγηθεί;",Ερυθρομυκίνη ,Φαινυτοϊνη ,Καρβαμαζεπίνη ,Ριφαμπικίνη
"Για την αντιμετώπιση του βρογχικού άσθματος, χορηγείται στον ασθενή θεοφυλλίνη. Ποιο από τα παρακάτω ελαττώνει τη δράση της, αν συγχορηγηθεί;",Ριφαμπικίνη ,Σιμετιδίνη,Φαινυτοϊνη,Φουροσεμίδη
"Για την αντιμετώπιση του βρογχικού άσθματος, χορηγούνται στον ασθενή β2 διεγέρτες, όπως η φορμοτερόλη και η σαλμετερόλη. Τη δράση τους αυξάνει:",η θυροξίνη,οι ξανθίνες ,η ρεσερπίνη,γουανεθιδίνη
"Για την αντιμετώπιση του βρογχικού άσθματος, χορηγούνται στον ασθενή β2 διεγέρτες, όπως η φορμοτερόλη και η σαλμετερόλη. Τη δράση τους μειώνει:",η ρεσερπίνη,η κινιδίνη,η θυροξίνη ,η ερυθρομυκίνη
"*Ποια ουσία από τις παρακάτω ουσίες προκαλεί αρρυθμίες, αν συγχορηγηθεί με β2- διεγέρτες (φορμοτερόλη, σαλμετερόλη) για την αντιμετώπιση του βρογχικού άσθματος;",Κινιδίνη,Ξανθίνες,Καρδιοτονωτικές γλυκωσίδες,!Όλες οι ουσίες που αναφέρονται.
Την αύξηση νεφροτοξικότητας επιφέρει η συγχορήγηση βανκομυκίνης (αντιμικροβιακό χημειοθεραπευτικό)  με:,αμινογλυκωσίδες,β- λακτάμες,διγοξίνη,θεοφυλλίνη
Ελάττωση ή και εξουδετέρωση της δράσης των κεφαλοσπορινών δίνουν οι κεφαλοσπορίνες σε συνδυασμό με:,τετρακυκλίνη,φουροσεμίδη,βανκομυκίνη,αμφοτερικίνη
*Οι κεφαλοσπορίνες σε συνδυασμό με ..... αυξάνουν τον κίνδυνο νεφροτοξικότητας,!αμινογλυκωσίδες,φουροσεμίδη,κολιμυκίνη,Όλα τα παραπάνω 
Η βλάβη απο ηλεκτρικό έγκαυμα εμφανίζει την ακόλουθη κλινική εικόνα: ,"Απανθρακωμένο, μαύρο κέντρο.",Ήπιο οίδημα ,Ερυθρότητα του δέρματος,Επιφανειακή ρήξη ιστών
*Τα περισσότερα θεραπευτικός χρήσιμα χολινεργικά φάρμακα αφορούν:,Τους νικοτινικούς υποδοχείς,!Τους μουσκαρινικούς υποδοχείς,Όλα τα παραπάνω ,Τίποτα από τα παραπάνω
Οι χολινεργικοί αγωνιστές εμφανίζουν :,Μείωση της καρδιακής συχνότητας και της καρδιακής παροχής,Αύξηση της αρτηριακής πίεσης,Μείωση σιελογόνων εκκρίσεων, Μείωση εντερικών εκκρίσεων
*Τα αδρενεργικά φάρμακα επηρεάζουν υποδοχείς που διαγείρονται απο την:,Αδρεναλίνη και νοραδρεναλίνη,Επινεφρίνη και νορεπινεφρίνη,Ακετυλοχολίνη,!Το α και το β 
*Ενεργοποίηση των β1 ανδρενεργικών υποδοχέων οδηγεί σε:,Ταχυκαρδία και αύξηση της συσταλτικότητας του μυοκαρδίου,Αύξηση απελευθέρωσης ρενίνης,!Όλα τα παραπάνω ,Τίποτα από τα παραπάνω
*Σε ασθενή που πάσχει απο άσθμα είναι καλύτερο να του χορηγηθεί προπανολόλη ή μετοπρολόλη;,Προπανολόλη,!Μετοπρολόλη,Και τα δύο θα φέρουν τα ίδια αποτελέσματα.,Κανένα απο τα δύο 
*Για την υπέρταση μπορεί να χρησιμοποιηθεί:,Θειαζιδικά διουρητικά,Αναστολείς των υποδοχέων της αγγειοτενσίνης,Αναστολείς των δίαυλων ασβεστίου,!Όλα τα παραπάνω
"Σε περίπτωση υπερτασικού ασθενή με σακχαρώδη διαβήτη ή στηθάγχη, προτείνεται η χρήση:",Αναστολέων των διαύλων ασβεστίου,Αναστολέων ΜΕΑ,Αναστολέων των υποδοχέων της αγγειοτενσίνης,Οποιοδήποτε απο τα φάρμακα κατά της υπέρτασης
*Στην καρδιακή ανεπάρκεια λειτουργούν αντισταθμιστικοί μηχανισμοί όπως:,Αυξημένη δραστηριότητα του συμπαθητικού,Ενεργοποίηση του συστήματος ρενίνης-αγγειοτενσίνης-αλδοστερόνης,Μυοκαρδιακή υπερτροφία,!Όλα τα παραπάνω
Ποιοι σεροτονινεργικοί υποδοχείς δεν είναι στόχοι φαρμάκων κατά της ημικρανίας;,5-ΗΤ3,5-ΗΤ2,5-ΗΤ1,5-ΗΤ4
Από ποιο αμινοξύ βιοσυντίθεται η Ντοπαμίνη;,Τυροσίνη,Φαινυλαλανίνη ,Γλυκίνη,Μεθειονίνη
Ποια είναι η κύρια δράση της Χλωροπρομαζίνης;,Αντιψυχωσική,Αγχολυτική,Αντιεπιληπτική,Αναισθητική
Ποιο από τα παρακάτω φάρμακα δεν είναι φάρμακο για την ουρική αρθρίτιδα;,Βικουκουλλίνη,Κολχικίνη,Προβενεκίδη,Σουλφινοπυραζόνη
Έλλειψη ποιας βιταμίνης εμπλέκεται στη μεγαλοβλαστική αναιμία;,B12,B1,B6,C
Σε ποιον τύπο οπιοειδών υποδοχέων συνδέεται η εγκεφαλίνη;,δ,κ ,ε,μ
Ποιο από τα παρακάτω δεν είναι αγχολυτικό φάρμακο;,Φλουμαζενίλη,Διαζεπάμη,Βουσπιρόνη,Ζολπιδέμη
Ποια είναι η LD50 (μέση τοξική δόση) της κοκαΐνης;,500mg,100mg,300mg,10mg
Ποια από τις παρακάτω ορμόνες εκκρίνεται από τον οπίσθιο λοβό της υπόφυσης;,Αντιδιουρητική ορμόνη (ADH),Αυξητική ορμόνη (GH),Θυρεοειδοτρόπος ορμόνη (TSH),Φλοιτρόπος ορμόνη (ACTH)
Ποιος από τους παρακάτω νευροδιαβιβαστές δεν επαναπροσλαμβάνεται από τους προσυναπτικούς υποδοχείς;,Νιτρικό οξύ,γ-αμινοβουτυρικό οξύ (GABA),Νοραδρεναλίνη,Γλουταμινικό οξύ
Η χρήση καλιοσυντηρητικών διουρητικών ενδύκνειται για τη θεραπεία της:,υπέρτασης,υπότασης ,κατάθλιψης ,αθηροσκληρωτικής καρδιοαγγειακής νόσου
*Τα κορτικοστεροειδή χρησιμοποιούνται για τη θεραπεία:  , της ρευματοειδούς αρθρίτιδας ,αλλεργικών αντιδράσεων ,του άσθματος,!Όλα τα παραπάνω
Για τα αδρανοποιημένα εμβόλια ισχύει ότι ,προσφέρουν ανοσία συνληθως ισόβια ,η ανοσία είναι κυτταροεξαρτώμενη ,το εμβόλιο δημιουργεί τοπική έκκριση IgA ,δεν απαιτούνται αναμνηστικές δόσεις 
*Για τα εμβόλια με ζώντες οργανισμούς ισχύει ότι: ,ο ιός του εμβολίου μπορεί να είναι επικίνδυνος για εγκύους,πρέπει να διατηρηθεί η βιωσιμότητα του εμβολίου ,μπορούν να μεταπέσουν σε μολυσματική ιική μορφή ,!Όλα τα παραπάνω
Για τη θεραπεία του τετάνου μπορεί να χορηγηθεί: ,μετρονιδαζόλη και ασπιρίνη ,μόνο μετρονιδαζόλη ,συνδυασμός δραστικών αντιβιοτικών ,μόνο ασπιρίνη 
