Ποιο από τα παρακάτω δεν αποτελεί προδιαθεσικό παράγοντα πνευµονικής εµβολής;, Αρτηριακή υπόταση , Εγκυµοσύνη , Παχυσαρκία, Χειρουργικές επεµβάσεις
Ποιο από τα παρακάτω δεν αποτελεί αίτιο απώλειας συνείδησης;, Θερµοπληξία , Επιληψία ,Ηπατικό κώµα , Υποθερµία 
* Εκλυτικοί παράγοντες ασθµατικής κρίσης. , Ορµονικοί παράγοντες ,∆ιατροφή,Φάρµακα ,!Όλα τα παραπάνω
*Τα αλατοκορτικοειδή είναι σωστό ότι:,!Συμβάλλουν στη ρύθμιση του όγκου των υγρών του σώματος και της συγκέντρωσης ηλεκτρόλυτων. ,Προκαλόυν μεταβολή στα επίπεδα των κυττάρων στο πλάσμα.,Έχουν αντιφλεγμονώδη δράση. ,Όλα είναι σωστά
Το σύδρομο Cushing προκαλείται απο:,Υπερέκκριση γλυκορτικοειδών , Έλλειψη γλυκοκορτικοειδών , Αλατοκορικοειδή , Αλατοκορτικοειδή και γλυκορτικοειδή 
*Οι γοναδικές ορμόνες χρησιμοποιούνται:,Στην αντιμετώπιση συμπτωμάτων εμμηνόπαυσης,Σε θεραπείες υποκατάστασης,Στην αντισύλληψη ,!Όλα τα παραπάνω
Η πιο σοβαρή και συχνή ανεπιθύμητη ενέργεια της ινσουλίνης είναι:,Η υπογλυκαιμία ,Η αύξηση βάρους ,Ο εμετός ,Η λιπουστροφία
Πώς πρέπει να λαμβάνεται ο σίδηρος;,"Με άδειο στομάχι, 15 λεπτά πριν το γεύμα. Απορροφάται όταν συνοδεύεται από βιταμίνη C (π.χ. ένα χυμό πορτοκάλι)",30 λεπτά πριν το γεύμα. Να αποφεύγεται η κατανάλωση γαλακτοκομικών προϊόντων 1 ώρα πριν και μία ώρα μετά την πρόσληψή του,Πριν απο τον ύπνο,Αμέσως μετά το γεύμα
"Για να μειωθεί η ενδοφθάλμια πίεση σε περίπτωση γλαυκώματος, χρησιμοποιείται: ",(χλωριούχος) καρβαχόλη,(χλωριούχος) βητανεχόλη,Νιτρικός Άργυρος (ΑgΝΟ3),Κυανιούχος Άργυρος
"Για τη θεραπεία του γαστσρικού έλκους,μπορεί να χορηγηθεί: ",Bρωμιούχος μεθυλοσκοπολαμίνη,Rανιτιδίνη,Oμερπραζόλη,Aμπικιλλίνη
Tη γαστρική έκκριση οξέος ελαττώνει: ,Η ομεπραζόλη,Η ερυθρομυκίνη,Η σουλφασαλαζίνη,Η μεσαλαζίνη
"Ένας πελάτης έρχεται στο φαρμακείο και ζητά θεραπεία έναντι της άφθας που έχει στη στοματική του κοιλότητα, οπότε και χορηγείται σε αυτόν:",Στοματικό διάλυμα σαλικυλικού οξέος,Στοματολογικό παρακεύασμα μικοναζόλης (αντιμυκητισιακή ιμιδαζόλη),μομεταζόνη,εντεκαβίρη
*Η στηθάγχη είναι αποτέλεσμα: ,Στένωσης στεφανιαίων αγγείων,Σπασμών στεφανιαίων αγγείων,Ανάπτυξης αθηρωματικών πλακών στις στεφανιαίες αρτηρίες,!Όλα τα παραπάνω
Σε υποψία στηθάγχης: ,Καλούμε Ιατρική βοήθεια.,Προσπαθούμε να αυξήσουμε το έργο της καρδιάς.,Προτρέπουμε τον ασθενή να κοιμηθεί.,Χορηγούμε παυσίπονο.
*Σε περίπτωση οξέος εμφράγματος του μυοκαρδίου: ,Καλούμε Ιατρική βοήθεια.,Ακινητοποιούμε τον ασθενή ώστε να ελατώσουμε το έργο της καρδιάς. ,"Δίνουμε στον ασθενή να μασήσει αργά μια ασπιρίνη, εφόσον διατηρεί τις αισθήσεις του.",!Όλα τα παραπάνω
Σε περίπτωση που ο ασθενής παρουσιάσει οξύ πνευμονικό οίδημα: ,Τοποθετούμε τον ασθενή σε σχεδόν καθιστή θέση.,Προτρέπουμε τον αθενή να ξαπλώσει.,Του δίνουμε να πιεί ένα ποτήρι νερό.,Δεν κάνουμε τίποτα και καλούμε κατευθείαν ασθενοφόρο.
*Η εμφάνιση χρόνιας αποφρακτικής πνευμονοπάθειας (ΧΑΠ) οφείλεται: ,Στο κάπνισμα,Στη ρύπανση της ατμόσφαιρας ,Σε λοιμώξεις του αναπνευστικού συστήματος,!Σε όλα τα παραπάνω. 
Τα επιφανειακά εγκαύματα (1ου βαθμού): ,Αφορούν την εξωτερική στοιβάδα του δέρματος.,Δημιουργούν φλύκταινες (φουσκάλες) ,Καταστρέφουν όλες τις στοιβάδες του δέρματος.,Επουλώνονται συνήθως σε 3-4 βδομάδες.
Τα βαθιά εγκαύματα (3ου βαθμού) χαρακτηρίζονται από: ,Καταστροφή των στοιβάδων του δέρματος και των νευρικών απολήξεων.,Ερυθρότητα του δέρματος,Μικρή έκταση ,Υποδόριο οίδημα
Σε περίπτωση εντοπισμού θύματος σε επαφή με ηλεκτροφόρο πηγή η πρώτη ενέργεια είναι: ,Απομάκρυνση του πάσχοντα απο την πηγή με στεγνό ξύλινο κοντάρι.,Άμεση απομάκρυνση του πάσχοντα τραβώντας τον απο το χέρι.,Κλήση ασθενοφόρου.,Ενημέρωση της ΔΕΗ 
Τα στμπτώματα της θερμοπληξίας είναι: ,Ξηρό και θερμό δέρμα,Πυρετός που κυμαίνεται απο 37 έως 39 ,Υπέρταση,Αδύναμος σφυγμός
Στην ήπια υποθερμία: ,Εκδηλώνεται μυικός τρόμος(ρίγος),Η θερμοκρασία του σώματος είναι μικρότερη απο 30 βαθμούς κελσίου.,Παρατηρείται απώλεια συνείδησης ,Παρατηρείται δυσκαμψία του σώματος
*Σε περίπτωση ήπιας εξωτερικής αιμορραγίας:,Πιέζουμε με πολλές αποστειρωμένες γάζες (πακέτο),Αφαιρούμε τα ρούχα απο την περιοχή του τραύματος,Ξαπλώνουμε τον τραυματία ύπτια,!Όλα τα παραπάνω
Σε περίπτωση εσωτερικής αιμορραγίας; ,Εφαρμόζουμε καρδιοαναπνευστική αναζωογόνηση.,Τοποθετούμε τον ασθενή σε καθιστή θέση με τα άνω άκρα προς τα κάτω.,Σκεπάζουμε τον ασθενή με μία κουβέρτα.,Προτρέπουμε τον ασθενή να κοιμηθεί.
*Συμπτώματα της εσωτερικής αιμορραγίας αποτελούν: ,Η ταχυσφυγμία ,Κρύο κολλώδες χρώμα ,Αύξηση της αρτηριακής πίεσης ,!Τα α και β 
*Σε περίπτωση που ένας ασθενής βρίσκεται σε καταπληξία (shock):,Ξαπλώνουμε τον ασθενή ώστε το κεφάλι του να βρίσκεται χαμηλότερα απο το υπόλοιπο σώμα.,Τον σκεπάζουμε με μία κουβέρτα ,Του βρέχουμε τα χείλη αν διψά.,!Όλα τα παραπάνω
*Τα φάρμακα δρουν μέσω:,Συστήματα μεταφοράς,Αναστολής ενζύμων,Υποδοχέων,!Όλα τα παραπάνω
*Η Αch χρησιμοποιείται ως νευροδιαβιβαστής:,Στις προγαγγλιακές ίνες που καταλήγουν στον μυελό των επινεφριδίων.,Στα αυτόνομα γάγγλια,Στις μεταγαγγλιακές ίνες του παρασυμπαθητικού,!Όλα τα παραπάνω
Τι ποσοστό του οξυγόνου που χρειάζεται ο οργανισμός καταναλώνει ο εγκέφαλος;,20%,10%,30%,40%
Ο ελάχιστος χρόνος εφαρμογής ΚΑΡΠΑ είναι:,30' για ενήλικες και 60' για παιδιά,30' ανεξαρτήτου ηλικίας,30' για ενήλικες και 15' για παιδιά,Μέχρι να επανέλθει ο ασθενής 
Το ρίγος στους ασθενείς με υποθερμία ανεβάζει την κατανάλωση σε οξυγόνο έως: ,500%,120%,240%,300%
Πότε χρησιμοποιείται συγχορήγηση σιροπιού ιπεκουάνας με ενεργό άνθρακα;,Όταν δεν είναι δυνατή η πρόκληση εμετού ,Δεν χρησιμοποιείται τέτοιος συνδυασμός,"Για πρόκληση εμετού σε μικρά παιδιά, γιατί η σκέτη χορήγηση ιπεκουάνας προκαλεί καταστροφές στο γαστρικό επιθηλίο λόγω του εμετού που προκαλείται βίαια",Όταν είναι αναγκαία η ταχεία πρόκληση εμετού καθώς αυξάνει την ταχύτητα δράσης του σιροπιού.
Η λαρυγγική μάσκα τοποθετείται: ,σε ασθενείς με απώλεια αισθήσεων και απουσία γλωσσοφαρυγγικών αντανακλαστικών,σε ασθενείς με ανατομικές αναμωλίες του στοματοφάρυγγα ,σε ασθενείς με χρόνια αποφρακτική πνευμονοπάθεια,σε ασθενείς με ισχυρούς στομαχικούς πόνους
*Οι ασθενείς με απόφραξη των αεροφόρων οδών απο ξένο σώμα εμφανίζουν: ,Δυσκολία στην αναπνοή ,Ταχυκαρδία ,Ελαττωμένο επίπεδο αισθήσεων ,!Όλα τα παραπάνω
*Σύμπτωμα της απόφραξης των αεροφόρων οδών απο ξένο σώμα αποτελεί: ,Η επιδεινούμενη αναπνευστική δυσχέρεια ,η υπνηλία ,η απώλεια αισθήσεων ,"η ήρεμη, σχεδόν αθόρυβη αναπνοή "
Οι ασθενείς με δύσπνοια ή καρδιακή ανεπάρκεια τοποθετούνται: ,σε θέση με τον θώρακα ψηλά ,σε απλή ύπτια θέση ,σε θέση shock (υψηλή θέση ποδιών),σε ύπτια θέση με ελαφρά ανυψωμένο κεφάλι
Έξω απο το φαρμακείο βρίσκεται ασθενής ξαπλωμένος με κλειστά μάτια ο οποίος φαίνεται τραυματιμένος. Το πρώτο βήμα για την εκτίμηση του ασθενούς αποτελεί: ,ο έλεγχος ύπαρξης αναπνοής ,η επάρκεια της αναπνοής ,ο έλεγχος της καρδιακής επάρκειας ,ο έλεγχος του επιπέδου συνείδησης 
Το καρδιογενές shock οφείλεται:,σε ισχαιμία ή έμφραγμα,σε αιμορραγία,σε εγκαύματα ,σε απώλεια υγρών απο το ΓΕΣ 
Κατα την πνευμονική υπέρταση εμφανίζεται: ,οπισθοστερνικός συσφιγκτικός πόνος διάρκεας μικρότερης απο 30' ,οπισθοστερνικός συσφιγκτικός πόνος διάρκεας μεγαλύτερης απο 30' ,πόνος στο αριστερό ημιθωράκιο,μυϊκός πόνος
*Προδιαθεσικός παράγοντας που μπορεί να προκαλέσει ρήξη αθυρωματικών πλακών και να οδηγήσει σε ΟΕΜ είναι: ,το κάπνισμα,ο σακχαρώδης διαβήτης,η αυξημένη συγκέντρωση στο πλάσμα των χαμηλής ποιότητας λιποπρωτεϊνών ,!Όλα τα παραπάνω
